text,author,likes,published_at,word_count,polarity,sentiment,length_bin,clean_text,adjusted_sentiment,roberta_raw,roberta_sentiment,sentiment_final
"CONTENTS
00:00 Part 0: Twilight
05:00 Part 1: Fiction
18:30 Part 2: Desire
44:21 Part 3: Fantasy
1:22:54 Part 4: Power
1:51:28 Part 5: Death
2:22:12 Part 6: Identity",@ContraPoints,6231,2024-03-01T22:19:27Z,22,0.0,neutral,20-50,contents0000 part 0 twilight0500 part 1 fiction1830 part 2 desire4421 part 3 fantasy12254 part 4 power15128 part 5 death22212 part 6 identity,neutral,LABEL_1,neutral,neutral
"f... leftist video!! DISLIKE!! This ""woman"" has to spread her hateful leftist agenda on every single topic she talks about, you cant find one no video where she is not trying to infiltrate our minds with her hateful agenda!",@gfdgfdet4Reqfg,0,2025-06-14T01:34:52Z,23,-0.08711867559523807,neutral,20-50,f leftist video dislike woman spread hateful leftist agenda every single topic talk can not find one video try infiltrate mind hateful agenda,negative,LABEL_0,negative,negative
I come back here a lot 1:22:15,@mikesawce,0,2025-06-13T00:44:02Z,4,0.0,neutral,0-10,come back lot 12215,positive,LABEL_1,neutral,positive
Watching this again this before getting back together with my ex 🫡,@useful-engine,0,2025-06-12T20:20:09Z,5,0.0,neutral,10-20,watch get back together ex,neutral,LABEL_1,neutral,neutral
"I wish that you would get obsessed with Gilmore girls and do a video like this because honestly it would make sense, sadly that’s just a wish 😞",@pinklemonade_1237,2,2025-06-12T13:07:15Z,14,-0.13333333333333333,negative,20-50,wish would get obsess gilmore girl video like honestly would make sense sadly wish,negative,LABEL_1,neutral,neutral
"We don't deserve you. You should be teaching anthropology at university or something, not trying to educate us plebes.",@octorant,3,2025-06-11T05:33:10Z,10,0.0,neutral,10-20,not deserve teach anthropology university something try educate we plebe,positive,LABEL_0,negative,positive
the only book im thinking about rn is haunting adeline 😭😭😭,@pparadoks4511,1,2025-06-10T22:11:34Z,5,0.0,neutral,10-20,book think rn haunt adeline,neutral,LABEL_1,neutral,neutral
"*post-cadence clarity*

Thank you, thank you, a thousand thanks to you for that ❤",@werdnayam,2,2025-06-10T19:16:25Z,5,0.2,positive,10-20,postcadence claritythank thank thousand thank,positive,LABEL_2,positive,positive
"0:51 ngl i kinda like the way the stem of the rose on the New Moon cover somewhat transforms into the cut ribbon on the Eclipse cover. ihnc if there's a specific metaphor there, but i like it personally",@imnotherenow200,0,2025-06-10T03:06:24Z,21,0.18409090909090908,positive,20-50,051 ngl kinda like way stem rise new moon cover somewhat transform cut ribbon eclipse cover ihnc specific metaphor like personally,positive,LABEL_1,neutral,neutral
this is one of the best videos i've ever seen,@Thecolorofinfanitetempature,1,2025-06-09T20:46:20Z,5,1.0,positive,0-10,one good video ever see,positive,LABEL_2,positive,positive
